heartRate,spo2,sleep,activity,is_anomaly
68,98.2,7.5,65,0
70,98.0,7.6,66,0
72,97.8,7.4,68,0
69,98.5,7.8,64,0
71,98.1,7.5,67,0
67,98.4,7.7,63,0
73,97.9,7.3,69,0
70,98.3,7.6,65,0
68,98.0,7.5,66,0
74,97.6,7.2,70,0
69,98.2,7.7,64,0
71,98.4,7.5,66,0
72,98.0,7.4,68,0
70,98.6,7.9,65,0
68,98.1,7.6,63,0
73,97.7,7.3,67,0
69,98.3,7.5,66,0
71,98.0,7.8,64,0
70,98.2,7.4,68,0
67,98.5,7.6,65,0
72,97.9,7.5,67,0
74,98.1,7.2,69,0
68,98.4,7.7,64,0
70,98.0,7.6,66,0
69,98.3,7.5,65,0
71,97.8,7.4,68,0
73,98.2,7.3,67,0
68,98.6,7.8,63,0
70,98.1,7.5,66,0
72,98.0,7.6,65,0
89,94.5,5.3,38,1
92,93.8,4.8,32,1
88,94.2,5.5,40,1
95,93.0,4.5,30,1
86,94.8,5.8,42,1
105,91.2,4.0,25,1
79,97.2,6.5,78,1
82,96.8,6.2,82,1
98,92.5,4.2,28,1
60,99.0,8.5,50,0
